Time (s),Voltage (V),Disp. (cm),Stress (MPa),DC (%),deltaT
47.44304900,0.25927084,0.00250193,0.30817382,57.42494683,4.60678629
47.64348900,0.25943784,0.00250393,0.30837282,56.45184083,4.54587829
47.84392900,0.25958984,0.00250493,0.30855482,56.38455783,4.53612729
48.04436900,0.25972984,0.00250593,0.30872082,56.84265783,4.48358629
48.24480900,0.25988484,0.00250793,0.30890482,56.98581883,4.50747729
48.44524900,0.26001784,0.00250893,0.30906182,57.01017283,4.51368129
48.64568900,0.26019584,0.00251093,0.30927482,56.47545683,4.51311129
48.84612900,0.26034284,0.00251193,0.30944882,56.65855683,4.46363529
49.04656900,0.26049084,0.00251393,0.30962482,57.16427783,4.41269129
49.24700900,0.26065184,0.00251493,0.30981582,56.73208683,4.32386229
49.44744900,0.26078884,0.00251693,0.30997882,57.50704183,4.31213329
49.64788900,0.26094284,0.00251793,0.31016182,56.72940083,4.23818129
49.84832900,0.26112384,0.00251993,0.31037782,56.70904583,4.14839629
50.04876900,0.26128184,0.00252093,0.31056582,56.83777283,4.14339729
50.24920900,0.26141284,0.00252293,0.31072082,57.48736083,4.12188229
50.44964900,0.26151384,0.00252393,0.31084082,56.46351083,4.07030929
50.65008900,0.26166084,0.00252493,0.31101582,57.57409283,4.11151029
50.85052900,0.26181284,0.00252693,0.31119582,56.64391583,4.08190729
51.05096900,0.26199484,0.00252793,0.31141282,57.41259383,4.12841029
51.25140900,0.26204584,0.00252893,0.31147282,56.93917683,4.15822129
51.45184900,0.26218384,0.00252993,0.31163782,56.81329083,4.20069129
51.65228900,0.26233084,0.00253193,0.31181182,57.95340683,4.15791229
51.85272900,0.26245684,0.00253293,0.31196082,57.53732483,4.12830529
52.05316900,0.26258784,0.00253393,0.31211682,56.67391783,4.13875429
52.25360900,0.26271384,0.00253493,0.31226782,56.67129783,4.10086029
52.45404900,0.26281884,0.00253593,0.31239182,57.24878283,4.10160229
52.65448900,0.26295084,0.00253793,0.31254882,56.90450283,4.06444929
52.85492900,0.26307784,0.00253893,0.31269982,57.37945283,4.01422729
53.05536900,0.26320184,0.00253993,0.31284682,58.14938383,3.93613929
53.25580900,0.26333784,0.00254093,0.31300882,57.17947783,3.91499729
53.45624900,0.26347084,0.00254293,0.31316682,57.43483883,3.93129129
53.65668900,0.26359984,0.00254393,0.31331982,56.85797083,3.94847729
53.85712900,0.26370384,0.00254493,0.31344382,57.11926683,3.92736529
54.05756900,0.26382084,0.00254593,0.31358382,58.20967683,3.91507129
54.25800900,0.26394984,0.00254693,0.31373682,57.66745683,3.91938029
54.45844900,0.26405684,0.00254793,0.31386382,57.42577183,3.87802529
54.65888900,0.26417784,0.00254893,0.31400682,57.46094883,3.74254829
54.85932900,0.26432084,0.00255093,0.31417682,56.85979183,3.67328729
55.05976900,0.26444084,0.00255193,0.31432082,57.41957283,3.70603929
55.26020900,0.26456184,0.00255293,0.31446382,57.24567683,3.71047229
55.46064900,0.26468184,0.00255393,0.31460582,57.42977483,3.72892129
55.66108900,0.26480484,0.00255493,0.31475182,57.19443283,3.76251529
55.86152900,0.26491884,0.00255693,0.31488782,57.40956483,3.76364029
56.06196900,0.26505084,0.00255793,0.31504482,56.99946183,3.80693629
56.26240900,0.26516284,0.00255893,0.31517782,58.40015483,3.80981829
56.46184700,0.26527384,0.00255993,0.31530982,56.39308483,3.77996229
56.66228700,0.26539584,0.00256093,0.31545482,57.60686483,3.75313029
56.86272700,0.26550084,0.00256193,0.31557982,57.40246683,3.71192129
57.06316700,0.26561784,0.00256293,0.31571982,56.68446383,3.66245929
57.26360700,0.26572984,0.00256393,0.31585282,56.83686383,3.62773929
57.46404700,0.26581584,0.00256493,0.31595482,57.49705083,3.62523129
57.66448700,0.26591784,0.00256593,0.31607582,57.36772883,3.63036929
57.86492700,0.26601684,0.00256693,0.31619282,56.69043583,3.58188029
58.06536700,0.26611484,0.00256793,0.31630982,58.00450383,3.56308629
58.26580700,0.26621484,0.00256893,0.31642882,57.65791983,3.59314429
